Respondents;Response Date;Mapset_access_info;Deleting_multiple_mapsets_or_locations;Adding_multiple_databases;Creating_renaming_deleting_mapset_or_location;New_management_icons;Small_icons_distinquishing_mapsets..;Removing_deleting_GRASS_database
1;Oct 29 2020 07:18 AM;1;6;7;5;3;2;4
2;Oct 26 2020 04:07 PM;1;5;7;4;3;2;6
3;Oct 26 2020 03:40 PM;1;3;7;4;2;5;6
4;Oct 26 2020 03:30 PM;4;6;5;2;3;1;7
5;Oct 26 2020 12:43 PM;6;2;4;1;3;5;7
6;Oct 26 2020 11:47 AM;1;2;4;5;3;6;7
7;Oct 26 2020 11:07 AM;3;4;6;1;2;7;5
8;Oct 26 2020 09:01 AM;2;1;3;4;5;6;7
9;Oct 24 2020 09:16 PM;1;7;2;4;3;6;5
10;Oct 24 2020 07:36 PM;5;6;7;2;1;4;3
11;Oct 24 2020 06:44 PM;7;6;5;4;3;2;1
12;Oct 24 2020 06:37 PM;2;3;7;1;4;5;6
13;Oct 24 2020 02:23 PM;4;5;6;1;3;2;7
14;Oct 24 2020 11:23 AM;6;5;4;2;3;7;1
15;Oct 24 2020 10:24 AM;5;6;4;2;3;1;7
16;Oct 24 2020 10:02 AM;1;4;6;5;2;3;7
17;Oct 24 2020 10:02 AM;1;2;3;4;6;5;7
18;Oct 24 2020 09:12 AM;3;6;4;5;2;1;7
19;Oct 24 2020 03:14 AM;4;2;1;3;5;6;7
20;Oct 24 2020 12:25 AM;7;6;4;3;1;2;5
21;Oct 23 2020 11:35 PM;3;6;5;4;2;1;7
22;Oct 23 2020 10:45 PM;2;6;7;4;3;1;5
23;Oct 23 2020 09:52 PM;1;6;2;5;3;4;7
24;Oct 23 2020 09:05 PM;7;6;4;3;1;2;5
25;Oct 23 2020 08:59 PM;1;5;3;4;7;6;2
26;Oct 23 2020 08:14 PM;5;6;7;4;1;2;3
27;Oct 23 2020 08:10 PM;7;3;6;4;2;1;5
28;Oct 23 2020 04:49 PM;7;6;5;3;1;4;2
29;Oct 23 2020 04:45 PM;3;6;1;2;4;7;5
30;Oct 23 2020 04:43 PM;1;4;5;6;3;2;7
31;Oct 23 2020 04:43 PM;6;1;5;4;7;3;2
32;Oct 23 2020 04:42 PM;4;6;1;5;2;3;7
33;Oct 23 2020 04:41 PM;7;6;4;1;3;2;5
34;Oct 23 2020 04:41 PM;5;6;2;1;4;3;7
35;Oct 23 2020 04:41 PM;3;5;4;6;1;2;7
36;Oct 23 2020 04:40 PM;4;1;5;3;6;2;7
37;Oct 23 2020 04:22 PM;4;5;6;3;2;1;7
38;Oct 23 2020 03:16 PM;4;5;6;1;2;3;7
39;Oct 23 2020 03:14 PM;7;5;6;3;1;2;4
40;Oct 23 2020 03:09 PM;7;5;6;3;1;4;2
41;Oct 23 2020 02:42 PM;3;6;2;5;4;1;7
42;Oct 23 2020 02:24 PM;7;6;5;4;1;2;3
43;Oct 23 2020 02:00 PM;4;5;6;3;1;2;7
44;Oct 23 2020 01:53 PM;5;2;6;4;1;7;3
45;Oct 23 2020 01:50 PM;6;4;5;3;1;2;7
46;Oct 23 2020 01:47 PM;7;2;4;1;5;3;6
47;Oct 23 2020 01:37 PM;1;7;5;3;2;4;6
48;Oct 23 2020 01:28 PM;3;5;7;1;4;2;6
49;Oct 23 2020 01:01 PM;2;5;3;1;7;6;4
50;Oct 23 2020 01:00 PM;1;5;6;2;3;4;7
51;Oct 23 2020 12:47 PM;6;5;4;1;3;2;7
52;Oct 23 2020 12:09 PM;1;3;4;5;6;2;7
