Respondents;Response Date;Responses
1;Oct 29 2020 07:18 AM;100
2;Oct 26 2020 04:07 PM;90
3;Oct 26 2020 03:40 PM;75
4;Oct 26 2020 03:30 PM;63
5;Oct 26 2020 12:43 PM;2
6;Oct 26 2020 11:47 AM;20
7;Oct 26 2020 11:07 AM;33
8;Oct 26 2020 09:01 AM;80
9;Oct 24 2020 09:16 PM;92
10;Oct 24 2020 07:36 PM;52
11;Oct 24 2020 06:44 PM;0
12;Oct 24 2020 06:37 PM;67
13;Oct 24 2020 02:23 PM;90
14;Oct 24 2020 11:23 AM;70
15;Oct 24 2020 10:24 AM;50
16;Oct 24 2020 10:02 AM;100
17;Oct 24 2020 10:02 AM;50
18;Oct 24 2020 09:12 AM;69
19;Oct 24 2020 03:14 AM;38
20;Oct 24 2020 12:25 AM;14
21;Oct 23 2020 11:35 PM;100
22;Oct 23 2020 10:45 PM;0
23;Oct 23 2020 09:52 PM;76
24;Oct 23 2020 09:05 PM;19
25;Oct 23 2020 08:59 PM;30
26;Oct 23 2020 08:14 PM;50
27;Oct 23 2020 08:10 PM;74
28;Oct 23 2020 04:49 PM;11
29;Oct 23 2020 04:45 PM;83
30;Oct 23 2020 04:43 PM;50
31;Oct 23 2020 04:43 PM;6
32;Oct 23 2020 04:42 PM;75
33;Oct 23 2020 04:41 PM;21
34;Oct 23 2020 04:41 PM;47
35;Oct 23 2020 04:41 PM;20
36;Oct 23 2020 04:40 PM;45
37;Oct 23 2020 04:22 PM;75
38;Oct 23 2020 03:16 PM;30
39;Oct 23 2020 03:14 PM;57
40;Oct 23 2020 03:09 PM;64
41;Oct 23 2020 02:42 PM;44
42;Oct 23 2020 02:24 PM;70
43;Oct 23 2020 02:00 PM;50
44;Oct 23 2020 01:53 PM;100
45;Oct 23 2020 01:50 PM;100
46;Oct 23 2020 01:47 PM;20
47;Oct 23 2020 01:37 PM;85
48;Oct 23 2020 01:28 PM;50
49;Oct 23 2020 01:01 PM;100
50;Oct 23 2020 01:00 PM;5
51;Oct 23 2020 12:47 PM;44
52;Oct 23 2020 12:09 PM;75
