Situation number 3;;;;;;
Respondents;Response Date;*Q5: Take a close look at Figure 3. What will be your next step in this situation? ;"
Q6: Is something confusing to you? If so, what specifically? ";*Q9:What is your general experience with GIS? ;*Q10: How often do you use GRASS GIS?;
1;Nov 30 2020 11:14 AM;I will go straight to the Display tab.;;B;4;
2;Nov 29 2020 05:29 PM;I will go straight to the Display tab.;;P;47;
3;Nov 29 2020 03:51 PM;I will find the right function in the documentation and go to Modules tab. ;;I;23;
4;Nov 28 2020 10:29 AM;I will find the right function in the documentation and go to Modules tab. ;;P;41;
5;Nov 28 2020 08:40 AM;I will find the right function in the documentation and go to Display tab.;;B;30;
6;9Nov 2 2020 08:40 AM;I will find the right function in the documentation and go to Display tab.;;I;19;
7;Nov 27 2020 9:16 AM;I would want to double click directly in this tab to get to the layer's properties.;;P;89;
8;Nov 27 2020 7:15 AM;I will go straight to the Modules tab. ;;P;99;
9;Nov 27 2020 6:53 AM;I will find the object of interest in another map that supports search, and using that as a reference will try to select it in the GRASS vector layer. ;;B;25;
10;Nov 27 2020 3:04 PM ;I will go straight to the Modules tab. ;I view the documentation only when I can't find the function in another way.;B;0;
11;Nov 27 2020 01:05 PM;I will find the right function in the documentation and go to Modules tab. ;;B;3;
12;Nov 27 2020 01:04 AM;I will go straight to the Modules tab. ;;P;80;
13;Nov 27 2020 12:48 AM;skipped;;P;100;
14;Nov 27 2020 12:25 AM;I will go into the vector menu and browse available modules. ;;P;100;
15;Nov 27 2020 11:25 AM;Browse contents of main menu bar. ;Where are map layers and their properties located? Why I am looking at  file list if I want to manage map layers?;P;80;
16;Nov 27 2020  9:40 AM ;I will find the right function in the documentation and go to Modules tab. ;;P;81;
17;Nov 27 2020 6:40 AM ;I will find the right function in the documentation and go to Modules tab. ;;P;100;
18;Nov 26 2020 4:46 PM;I will try right click on the rivers layer ;;I;5;
19;Nov 26 2020 5:06 PM;I will go straight to the Display tab.;;I;56;
20;Nov 26 2020 7:48 PM;I will find the right function in the documentation and go to Modules tab. ;;P;90;
21;Nov 26 2020 8:58 PM;I will go straight to the Display tab.;"I'd write: ""To change layer properties, go to Display tab below and double click over layer name"". I think the message is clearer in this way.";P;80;
22;Nov 26 2020 7:48 PM;I will go straight to the Modules tab. ;;P;74;
23;Nov 26 2020 5:06 PM;I will go straight to the Modules tab. ;;I;73;
24;Nov 26 2020 4:46 PM;I will go straight to the Display tab.;"To me again, it is the wording that is confusing. Why are ""tools"" called ""modules"" and not simply ""tools""?";P;54;
25;Nov 26 2020 3:31 PM;I will go straight to the Modules tab. ;;P;100;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Legend;;;;;;
;To context menus in Data Catalog;1;;;;
;To management icons;2;;;;
;To both;3;;;;
;"I don't think any features should be added. There is
little space for that.";4;;;;
